iter	RMSE
0	0.3634837949
1	0.3412447545
2	0.3229365502
3	0.303511896
4	0.2861627969
5	0.2716053648
6	0.2572912526
7	0.244951092
8	0.2333011048
9	0.2225157654
10	0.2126559726
11	0.2046610262
12	0.1973216864
13	0.1901109861
14	0.1831030121
15	0.1771669869
16	0.1717055984
17	0.1665288089
18	0.1624971296
19	0.1590904481
20	0.15469
21	0.1515616832
22	0.1483970525
23	0.1454573818
24	0.1432029904
25	0.1405930212
26	0.1385867055
27	0.136140457
28	0.1337713432
29	0.1321851681
30	0.1302691598
31	0.1290843955
32	0.1274774385
33	0.1258008326
34	0.1248123775
35	0.1234893891
36	0.1222600218
37	0.120641647
38	0.1197553253
39	0.1185915014
40	0.1176926719
41	0.116330783
42	0.1157577455
43	0.1146412004
44	0.1133700382
45	0.1123871177
46	0.1115591962
47	0.1105611104
48	0.1093016001
49	0.1085661358
50	0.1078665312
51	0.1071503179
52	0.1065711154
53	0.1059181243
54	0.104949617
55	0.1043191815
56	0.1037323556
57	0.103248469
58	0.102692038
59	0.1018395504
60	0.1010070641
61	0.1005895978
62	0.100012649
63	0.09966231852
64	0.09921896649
65	0.09863629882
66	0.09824223118
67	0.09762428942
68	0.09720416937
69	0.09661791677
70	0.09608921654
71	0.09589597062
72	0.09552836693
73	0.09481415883
74	0.09427107838
75	0.09410247918
76	0.09354694518
77	0.09334686692
78	0.09317095867
79	0.09267951685
80	0.09231931778
81	0.09214775419
82	0.09193354009
83	0.09178633442
84	0.09146800032
85	0.09108747702
86	0.09082767162
87	0.09055918079
88	0.09017294895
89	0.08970229463
90	0.08931026558
91	0.08897544449
92	0.08841269278
93	0.08830608137
94	0.08790743282
95	0.08742321341
96	0.08721345689
97	0.08671547156
98	0.08638917042
99	0.08597255349
100	0.08565876199
101	0.085276465
102	0.08486565328
103	0.0847787068
104	0.08445351146
105	0.08413515762
106	0.08376268931
107	0.08342614069
108	0.08293976985
109	0.08261574752
110	0.08252596821
111	0.0821196078
112	0.08175150873
113	0.08151171783
114	0.08143031876
115	0.08116379639
116	0.08081103465
117	0.08053290677
118	0.08047330223
119	0.08030749841
120	0.07991274507
121	0.07955432189
122	0.07927151801
123	0.07910607321
124	0.07872202241
125	0.07847298529
126	0.07831450689
127	0.07793507839
128	0.07762594757
129	0.07757609073
130	0.077186736
131	0.07690482553
132	0.0766311099
133	0.07648459993
134	0.07599926177
135	0.07584589944
136	0.07551198457
137	0.07513941402
138	0.07482513524
139	0.0744501355
140	0.07419305262
141	0.07399022952
142	0.07379354266
143	0.07348018686
144	0.07319354487
145	0.07280719011
146	0.07274863935
147	0.07240459843
148	0.07218806341
149	0.07190375008
150	0.07176501928
151	0.07152185927
152	0.07123002231
153	0.07094170114
154	0.07064663069
155	0.07038299763
156	0.07014063035
157	0.06982587755
158	0.06956516545
159	0.06944933843
160	0.06921538435
161	0.06897221532
162	0.06881746909
163	0.06854924282
164	0.06836114188
165	0.06808987106
166	0.06787712128
167	0.06756714736
168	0.0673192979
169	0.06706110748
170	0.06692518799
171	0.06685018643
172	0.06675263878
173	0.06667422799
174	0.06629635517
175	0.06624776556
176	0.06603906652
177	0.06592273909
178	0.06558530966
179	0.06537984025
180	0.06506159878
181	0.06502428488
182	0.0647056199
183	0.06440745155
184	0.06437494883
185	0.06420838901
186	0.06414944676
187	0.06400892786
188	0.06395494968
189	0.06361841906
190	0.06339506785
191	0.06334922134
192	0.06332629183
193	0.06307301204
194	0.06288751499
195	0.06283055117
196	0.06263593303
197	0.06231064198
198	0.06211762324
199	0.06185839438
200	0.06166492074
201	0.06152232891
202	0.06125822463
203	0.06103018343
204	0.06084989804
205	0.06067946235
206	0.06048870758
207	0.06042647036
208	0.06026103487
209	0.06023310268
210	0.0599797997
211	0.05971650826
212	0.05947490156
213	0.05927064266
214	0.05888822202
215	0.05867202021
216	0.05837758489
217	0.05833775934
218	0.05829905555
219	0.05812797625
220	0.05796186501
221	0.05768050486
222	0.05763412697
223	0.05739790802
224	0.05723873956
225	0.05720678608
226	0.05714325783
227	0.0569919733
228	0.05685963113
229	0.05661429003
230	0.05646422538
231	0.05643882277
232	0.05621936623
233	0.05603882374
234	0.05590261105
235	0.05574178439
236	0.05572082443
237	0.0556546539
238	0.05561933483
239	0.05540698217
240	0.05529145247
241	0.05513779453
242	0.0551219556
243	0.05511199049
244	0.05481322159
245	0.05461223887
246	0.05438003478
247	0.05409200624
248	0.05396532123
249	0.0539138477
250	0.0537630774
251	0.05371680738
252	0.05370378372
253	0.05368303058
254	0.05347224092
255	0.05333430082
256	0.05326212844
257	0.05324380439
258	0.05316289069
259	0.05315235251
260	0.05313726937
261	0.05297610786
262	0.05274094814
263	0.0526500165
264	0.0524772819
265	0.05229668753
266	0.05224563408
267	0.05192070114
268	0.05187805615
269	0.05186936191
270	0.05163699063
271	0.05143372427
272	0.05127446145
273	0.05111060741
274	0.05104358184
275	0.05084258967
276	0.05058824877
277	0.05039432268
278	0.05016079693
279	0.05001592223
280	0.04991911818
281	0.04975369598
282	0.04974183133
283	0.04948785068
284	0.04928999001
285	0.04920414043
286	0.04919733527
287	0.04906439143
288	0.04878665166
289	0.04857852861
290	0.04846209563
291	0.04823954166
292	0.04806482422
293	0.04793608594
294	0.04777520788
295	0.04772119638
296	0.04760107521
297	0.04744942622
298	0.04741756519
299	0.04718426134
