Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Accuracy Std,Precision Std,Recall Std,F1 Std,ROC-AUC Std,PR-AUC Std,Mean Fit Time,Mean Score Time
XGBoost - Tuned,0.7582563305652787,0.5296751739862091,0.7993311036789297,0.6370251405803844,0.8492015841162551,0.6704636379533916,0.011804507255555664,0.015159462851026104,0.02278178778050353,0.016032038212540286,0.01112183706084189,0.019517692818542366,0.5907094955444336,0.0596127986907959
Random Forest - Tuned,0.7676619895004105,0.5447047052744785,0.759866220735786,0.6344094606158321,0.8433841497645691,0.6523594850569869,0.006360059530116461,0.009210017750859669,0.019999888144115158,0.010019242716235771,0.010012241797981953,0.025652681749659328,1.1590744972229003,0.2594782829284668
Logistic Regression - Tuned,0.7523980261654434,0.5220196345564647,0.7946488294314381,0.6300112905806571,0.8456411180499888,0.6571238803763447,0.014132250605508802,0.01771981479303357,0.031841151131536884,0.02149699821155155,0.010540839365919673,0.012239127235417915,0.2127007007598877,0.03797702789306641
