Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Training Time (sec)
XGBoost,0.7565649396735273,0.527336860670194,0.7994652406417112,0.6354941551540914,0.8465938153917693,0.660381918273695,1.0266242027282715
Random Forest,0.7572746628814763,0.5296296296296297,0.7647058823529411,0.6258205689277899,0.8389030974708724,0.6430575304721634,1.6990151405334473
Logistic Regression,0.7366926898509581,0.5025641025641026,0.786096256684492,0.6131386861313869,0.8403782066186158,0.6298920734889117,0.46165990829467773
Decision Tree,0.7267565649396736,0.4909090909090909,0.7941176470588235,0.6067415730337079,0.8218217985481412,0.6147725859107765,0.13775277137756348
Gradient Boosting,0.8048261178140526,0.6701030927835051,0.5213903743315508,0.5864661654135338,0.8443850267379679,0.6560030769448948,5.346064567565918
KNN,0.7679205110007097,0.5685131195335277,0.5213903743315508,0.5439330543933054,0.7910434265932986,0.5312293424808274,0.027988433837890625
