Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Accuracy Std,Precision Std,Recall Std,F1 Std,ROC-AUC Std,PR-AUC Std,Mean Fit Time,Mean Score Time
XGBoost,0.7566575939202618,0.527704292926462,0.7913043478260869,0.6330590258347918,0.8481883125089833,0.667882745071041,0.009785086439926005,0.012449646931461543,0.02561095614592196,0.015433971214009194,0.011571639554228411,0.023419670562506663,0.9824522972106934,0.13538150787353515
XGBoost - Weighted,0.7566575939202618,0.527704292926462,0.7913043478260869,0.6330590258347918,0.8481883125089833,0.667882745071041,0.009785086439926005,0.012449646931461543,0.02561095614592196,0.015433971214009194,0.011571639554228411,0.023419670562506663,0.8865243434906006,0.06538615226745606
Random Forest,0.7657095891101827,0.5419774226316371,0.7578595317725751,0.6318818803974648,0.8447250370324524,0.6626035578215053,0.00742340530041553,0.010595189617993436,0.018633295354092503,0.010969156076387028,0.009579716364755502,0.018636782490358925,1.4538341522216798,0.265259838104248
Random Forest - Weighted,0.7632248018521641,0.5383275370333495,0.7585284280936455,0.6296557250855588,0.8444704054043732,0.6611608438054162,0.008402498713969196,0.011674663631954565,0.017365558509360786,0.012120669854836027,0.009315031401287538,0.020465943071619325,1.6337003231048584,0.3832274913787842
Logistic Regression - Weighted,0.7509788006638288,0.5201224311566126,0.7979933110367893,0.6296448339895779,0.8451469606311051,0.6576308397190213,0.014457786173203318,0.018036990441954625,0.03341804948975732,0.021891953202933138,0.011638867019850839,0.015598065256411095,0.33216376304626466,0.044698143005371095
Logistic Regression,0.7502687939026101,0.5192270237974526,0.797324414715719,0.6287701888320376,0.8451469752836891,0.6577878942597526,0.014026959657319763,0.017497082296506566,0.033618279259208204,0.02143002896400556,0.011622715295879672,0.01557772245083647,0.20596137046813964,0.039787817001342776
