Model,Best Threshold,Accuracy,Precision,Recall,F1-Score
XGBoost,0.65,0.8145519077196096,0.652027027027027,0.6454849498327759,0.6487394957983194
Logistic Regression,0.6,0.7905944986690329,0.5863013698630137,0.7157190635451505,0.6445783132530121
Random Forest,0.55,0.7852706299911268,0.5772357723577236,0.7123745819397993,0.6377245508982036
