Model,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
XGBoost,0.65,0.7970191625266146,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.8431669637551992,0.6562048933628629
Logistic Regression,0.6,0.7743080198722498,0.559322033898305,0.7058823529411765,0.624113475177305,0.8410395515254849,0.6286008765270992
Random Forest,0.55,0.7721788502484032,0.5555555555555556,0.7085561497326203,0.6227967097532315,0.8372910692603786,0.6303843048143298
