Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Tuning Time (sec)
Logistic Regression - Improved,0.8041,0.675,0.5053,0.578,0.8409,0.6273,16.5466
Decision Tree - Improved,0.7793,0.5975,0.516,0.5538,0.813,0.6053,3.4835
KNN - Improved,0.7793,0.594,0.5321,0.5614,0.8183,0.5703,1.0937
Random Forest - Improved,0.7892,0.6323,0.492,0.5534,0.8362,0.6351,60.9545
Gradient Boosting - Improved,0.7892,0.6711,0.4037,0.5042,0.8404,0.6494,47.4827
XGBoost - Improved,0.7495,0.5185,0.7861,0.6249,0.8441,0.6559,22.228
