Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Accuracy Std,Precision Std,Recall Std,F1 Std,ROC-AUC Std,PR-AUC Std,Mean Fit Time,Mean Score Time
XGBoost,0.7566575939202618,0.527704292926462,0.7913043478260869,0.6330590258347918,0.8481883125089833,0.667882745071041,0.009785086439926005,0.012449646931461543,0.02561095614592196,0.015433971214009194,0.011571639554228411,0.023419670562506663,0.9824522972106934,0.13538150787353515
Random Forest,0.7657095891101827,0.5419774226316371,0.7578595317725751,0.6318818803974648,0.8447250370324524,0.6626035578215053,0.00742340530041553,0.010595189617993436,0.018633295354092503,0.010969156076387028,0.009579716364755502,0.018636782490358925,1.4538341522216798,0.265259838104248
Logistic Regression - Weighted,0.7509788006638288,0.5201224311566126,0.7979933110367893,0.6296448339895779,0.8451469606311051,0.6576308397190213,0.014457786173203318,0.018036990441954625,0.03341804948975732,0.021891953202933138,0.011638867019850839,0.015598065256411095,0.33216376304626466,0.044698143005371095
