Experiment,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Baseline ANN,0.8720086044635654,0.8544481264338516,0.8979373158317707,0.8756530825496343,0.9385216219059467
ANN - Hidden Units,0.8769830599623555,0.8612820512820513,0.8998124832574337,0.8801257696842657,0.9444092210373034
ANN - Dropout,0.8729497176660392,0.8639686684073107,0.8864184302169836,0.8750495834986116,0.9437301913523943
ANN - Batch Normalization,0.8737563861253025,0.8775675675675676,0.8698098044468257,0.8736714650881205,0.9481839941608436
ANN - RMSprop Optimizer,0.8730841624092498,0.8561941251596424,0.8979373158317707,0.8765690376569037,0.9450306255655417
ANN - Learning Rate 0.0001,0.8648830330734069,0.8641217298451682,0.8671309938387356,0.8656237464901725,0.9417462085430561
ANN - Batch Size 64,0.8702608228018285,0.8680851063829788,0.8743637824805787,0.871213132256773,0.9392870531745714
ANN - Early Stopping,0.8943264318365152,0.8926192379429789,0.8974015537101527,0.8950040074806305,0.9605324795844625
ANN - Learning Rate Scheduling,0.8775208389351976,0.8756656017039404,0.8810608090008036,0.8783549205501402,0.9488785327492731
