Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
ANN,0.8710674912610917,0.8756771397616468,0.8660594695954996,0.8708417508417509,0.9430450882507222
RNN,0.4989244420543157,0.5008055853920516,0.4995981784087865,0.5002011532787984,0.5021881652967135
LSTM,0.8631352514116698,0.8624833110814419,0.8652558264130726,0.8638673442096817,0.9317602822403532
GRU,0.8707986017746706,0.8666666666666667,0.8775783552102866,0.8720883801410888,0.9388268110983016
Bi-LSTM,0.8647485883301963,0.8753096614368291,0.8518617733726226,0.8634265544393158,0.929971227188084
