Model,Train Accuracy,Validation Accuracy,Test Accuracy,Test Loss
Basic CNN,44.37152147293091,50.8316695690155,50.36593675613403,1.2584896087646484
Deep CNN,23.455557227134705,27.744510769844055,27.744510769844055,1.9821345806121826
CNN + BatchNormalization,48.266515135765076,20.492348074913025,21.556885540485382,1.6459518671035767
