Feature,VIF
Condition2_PosN,3.0272141604880844
Exterior1st_BrkComm,2.9998038479959583
ExterQual_Fa,2.998229850823556
Alley_Pave,2.913048198698584
KitchenQual_Fa,2.9102878861471084
HouseStyle_SFoyer,2.8720071186243685
Condition2_RRNn,2.8701554903482673
Exterior2nd_Stone,2.856167835157021
Exterior2nd_AsphShn,2.8392274610690023
LandContour_Low,2.8173436675782244
BsmtQual_Fa,2.668677728101774
OverallCond,2.6530012470071833
Condition2_PosA,2.615750300963672
LowQualFinSF,2.568216645255282
LandContour_HLS,2.538330132530856
Fence_GdWo,2.5017419011845
Neighborhood_Veenker,2.450974909363163
FireplaceQu_Po,2.4331742055933243
WoodDeckSF,2.413402048155178
Condition1_RRAn,2.412340287637268
BsmtFinType2_GLQ,2.378072112568984
LandSlope_Sev,2.3656297538606097
BsmtExposure_Gd,2.3286521697436013
BsmtFinType1_Rec,2.2891956587914803
HouseStyle_2.5Fin,2.266262892711096
BsmtFinType1_BLQ,2.240646528316686
Exterior1st_Stone,2.234560106396039
Exterior1st_AsphShn,2.10949470745025
HeatingQC_Fa,2.1043897425282854
LotConfig_CulDSac,2.0368307459497648
Electrical_FuseP,2.020795556166653
Condition1_PosN,2.0203605284907846
BsmtExposure_Mn,2.019070689874297
Functional_Maj2,1.9972961375955771
LandSlope_Mod,1.9847692835322723
HeatingQC_Gd,1.9836346062005434
BsmtFinType1_LwQ,1.9758794215958158
ExterCond_Po,1.9490522922989868
Condition2_RRAn,1.9245816702941845
SaleCondition_Alloca,1.8077756263914677
PavedDrive_P,1.7979005117912088
HouseStyle_2.5Unf,1.7798417787431748
Condition1_RRAe,1.7554634984703514
Electrical_FuseF,1.7378825578463195
HouseStyle_1.5Unf,1.6835053470857677
SaleCondition_AdjLand,1.6441032397853348
SaleType_ConLD,1.64395860731605
Functional_Sev,1.6312473376781271
Condition1_RRNn,1.5934306470360706
Exterior1st_ImStucc,1.5368561006004908
Condition1_PosA,1.5200696982458388
Foundation_Stone,1.4903785614914007
LotConfig_FR2,1.4604017278756896
LotShape_IR3,1.4603424667909453
Neighborhood_Blueste,1.4475580861478468
SaleCondition_Family,1.4416797288747283
Fence_MnWw,1.4347056943643388
SaleType_ConLw,1.4340390085394223
Exterior2nd_Other,1.4293516721091544
LotShape_IR2,1.4225412759033818
HeatingQC_Po,1.3732580224128907
YrSold,1.353610032020285
Utilities_NoSeWa,1.3186287649178408
SaleType_ConLI,1.2992532982749934
SaleType_CWD,1.287600096313116
MoSold,1.2408789261875923
Foundation_Wood,1.2392931260287712
LotConfig_FR3,1.2287394395970723
SaleType_Oth,1.2214236695496632
SaleType_Con,1.205857832637907
Condition1_RRNe,1.1717833929690353
