Model,MAE,RMSE,R2 Score
Linear Regression,0.09351316216491819,0.185011157825386,0.8165749574625969
Decision Tree,0.14186292459516175,0.20932169695922775,0.765203683077931
Random Forest,0.09750444064972567,0.14769762829225477,0.8831012601771335
Gradient Boosting,0.08797465404174604,0.13242322705331178,0.9060295902411628
XGBoost,0.10807707824848252,0.15784215872977894,0.8664915326752567
LightGBM,0.0922463179509872,0.14095502323142903,0.8935308219285617
CatBoost,0.08405124465893776,0.13000576732466654,0.9094292374448694
