Model,MAE,MSE,RMSE,R2 Score,Adjusted R2,CV Score
CatBoost,0.08615195904437678,0.01728062791281812,0.13145580212686742,0.9073975865865282,0.03759634630999009,0.9031245436041182
Gradient Boosting,0.08600059493460738,0.017344117763981065,0.1316970681677503,0.9070573609029123,0.03406042938383891,0.8899952283289461
XGBoost,0.09152141420169467,0.018659486894245236,0.13659973240912748,0.9000086381014862,-0.039195939730982454,0.841778600706571
LightGBM,0.08833319835211985,0.018667968090855927,0.1366307728546389,0.8999631895634617,-0.03966827989402355,0.8862803267701003
Linear Regression,0.08833631111336632,0.020583052973062385,0.14346795103110097,0.8897007452310757,-0.146324397777035,0.840066563015807
Random Forest,0.0977877387907972,0.022090291689717406,0.14862803130539476,0.8816238429647554,-0.23026648918772108,0.8632691591866196
Decision Tree,0.13765750191024492,0.040652705505645786,0.2016251608942837,0.7821526705741094,-1.2640561736762197,0.6923867377073125
